	area	rooms	bathroom	parking spaces	floor	animal	furniture	hoa	target	property_tax	fire_insurance	city_Belo Horizonte	city_Campinas	city_Porto Alegre	city_Rio de Janeiro	city_São Paulo
0	70	2	1	1	7	1	1	2065	3300	211	42	0	0	0	0	1
1	320	4	4	0	20	1	0	1200	4960	1750	63	0	0	0	0	1
2	80	1	1	1	6	1	0	1000	2800	0	41	0	0	1	0	0
3	51	2	1	0	2	1	0	270	1112	22	17	0	0	1	0	0
4	25	1	1	0	1	0	0	0	800	25	11	0	0	0	0	1
5	376	3	3	7	0	1	0	0	8000	834	121	0	0	0	0	1
6	72	2	1	0	7	1	0	740	1900	85	25	0	0	0	1	0
7	213	4	4	4	4	1	0	2254	3223	1735	41	0	0	0	0	1
8	152	2	2	1	3	1	1	1000	15000	250	191	0	0	0	0	1
9	35	1	1	0	2	1	1	590	2300	35	30	0	0	0	1	0
10	26	1	1	0	2	1	1	470	2100	150	27	0	0	0	0	1
11	46	1	1	1	10	1	0	550	580	43	8	0	1	0	0	0
12	36	1	1	0	11	1	0	359	2100	70	27	0	0	0	0	1
13	55	1	1	1	2	1	1	790	4200	224	54	0	0	0	0	1
14	100	2	2	2	24	1	1	900	4370	17	56	0	0	0	0	1
15	330	4	6	6	0	1	1	680	8000	328	121	0	1	0	0	0
16	110	2	2	1	1	1	0	700	3000	122	39	0	0	0	0	1
17	88	2	3	1	9	0	1	1614	3500	221	16	0	0	0	1	0
18	56	2	1	0	8	1	0	800	1220	0	16	0	0	0	1	0
19	600	4	5	6	0	1	0	0	12000	9500	181	0	0	0	0	1
20	100	7	4	0	0	1	0	0	3800	118	58	0	0	0	0	1
21	42	1	1	1	17	0	1	470	2690	172	36	1	0	0	0	0
22	160	3	2	2	18	1	1	1530	1900	167	25	0	0	0	0	1
23	35	1	1	0	0	1	0	0	1100	3	14	0	0	0	0	1
24	90	3	2	1	7	1	0	800	1800	118	24	0	0	0	1	0
25	49	1	1	1	10	1	0	480	3500	42	45	0	0	0	0	1
26	41	1	1	1	5	0	1	600	3000	0	39	0	0	0	0	1
27	64	2	2	1	11	1	0	352	1500	80	20	1	0	0	0	0
28	208	3	2	4	0	1	0	0	3180	100	48	0	1	0	0	0
29	20	1	1	0	5	1	1	602	1800	130	23	0	0	0	0	1
30	55	2	2	2	6	1	0	780	1068	142	14	0	0	0	0	1
31	32	1	1	0	3	1	0	515	1700	29	22	0	0	0	0	1
32	80	2	2	1	11	1	0	1208	2550	216	33	0	0	0	0	1
33	45	1	1	1	10	1	1	2450	2500	593	33	0	0	0	1	0
34	350	4	4	3	8	1	0	2100	4000	500	51	0	0	0	0	1
35	38	1	1	2	11	0	0	450	1750	0	26	0	0	1	0	0
36	30	1	1	0	1	1	0	460	1600	0	21	0	0	0	0	1
37	80	3	2	1	0	1	0	0	11000	425	181	1	0	0	0	0
38	70	2	1	0	0	0	0	0	1150	59	18	0	0	0	0	1
39	40	1	1	1	6	1	1	390	2990	0	44	0	0	1	0	0
40	300	4	6	4	20	1	0	3700	12000	1584	153	0	0	0	0	1
41	240	3	2	3	0	1	0	0	3500	292	53	0	0	0	0	1
42	200	4	2	1	7	0	0	850	2550	9	34	1	0	0	0	0
43	45	1	1	1	5	1	0	500	1631	192	12	1	0	0	0	0
44	360	4	5	0	1	1	0	4000	6410	2000	82	0	0	0	0	1
45	40	1	1	1	10	1	1	978	2829	0	33	0	0	0	0	1
46	100	3	1	0	13	0	0	700	1220	10	17	1	0	0	0	0
47	42	1	1	2	2	1	1	190	1770	17	26	0	0	1	0	0
48	250	3	3	2	1	1	0	2200	1700	256	22	0	1	0	0	0
49	48	1	1	1	2	1	1	505	1600	59	21	0	1	0	0	0
50	90	3	3	1	10	1	0	1250	3800	147	49	0	0	0	1	0
51	45	1	2	1	15	1	1	856	3900	150	50	0	0	0	0	1
52	150	2	3	4	6	1	0	1700	4000	700	52	0	0	0	1	0
53	60	2	1	0	2	1	0	200	1445	0	19	0	0	0	0	1
54	31	1	1	0	4	1	0	370	2350	56	30	0	0	0	0	1
55	210	4	5	4	4	0	0	1650	9000	772	115	0	0	0	0	1
56	280	3	1	2	0	1	0	0	6000	113	91	0	0	0	0	1
57	93	2	3	2	9	1	0	663	5500	133	70	0	1	0	0	0
58	75	3	2	1	9	1	0	340	1800	109	27	0	0	1	0	0
59	194	3	4	3	0	1	0	0	4000	70	61	0	0	0	0	1
60	41	1	1	1	6	1	1	523	4000	131	51	0	0	0	0	1
61	65	1	1	1	8	1	1	2000	5100	250	66	0	0	0	1	0
62	70	2	1	1	13	1	0	761	2150	67	28	0	0	0	0	1
63	278	4	5	2	16	1	1	4052	9000	1261	115	0	0	0	0	1
64	35	1	1	0	5	1	0	306	1521	21	20	0	0	0	1	0
65	300	4	4	3	2	1	0	2300	6000	417	77	0	1	0	0	0
66	61	2	1	1	4	1	0	459	1850	0	24	0	0	0	0	1
67	130	3	2	1	7	1	0	1660	1700	475	22	0	0	0	1	0
68	80	2	1	1	20	1	0	500	900	90	12	0	0	0	1	0
69	164	4	4	2	6	0	0	2159	5000	386	64	0	0	0	0	1
70	220	4	2	3	3	1	0	450	2422	125	33	1	0	0	0	0
71	45	1	1	0	0	1	0	0	1050	46	16	0	0	0	0	1
72	108	3	2	2	7	1	0	1290	5600	435	71	0	0	0	0	1
73	128	1	1	0	4	1	1	418	2100	182	28	1	0	0	0	0
74	60	1	1	0	10	0	0	450	1800	48	24	0	0	0	1	0
75	250	4	5	4	6	1	0	2050	9800	998	125	0	0	0	0	1
76	47	1	1	1	1	0	1	400	2200	0	33	0	0	1	0	0
77	170	4	3	4	9	0	0	744	2700	296	36	1	0	0	0	0
78	45	1	1	0	1	0	0	300	1240	0	16	0	0	0	0	1
79	42	1	1	1	15	1	0	686	3500	123	45	0	0	0	0	1
